Ano;Mes;Dia;H;M;S;Dist(cm);Dist2(cm);T(°C);P(Pa)
2019;10;6;11;1;8;115.77;242.12;34.61;101707.19
2019;10;6;11;1;9;116.55;214.66;34.49;101688.77
2019;10;6;11;1;9;122.01;68.53;34.49;101690.36
2019;10;6;11;1;10;118.95;-634.18;34.48;101691.88
2019;10;6;11;1;11;119.87;145.39;34.46;101694.26
2019;10;6;11;1;11;114.24;87.55;34.45;101695.22
2019;10;6;11;1;12;115.75;91.79;34.43;101696.61
2019;10;6;11;1;12;115.29;80.82;34.42;101697.70
2019;10;6;11;1;13;116.37;72.74;34.40;101698.75
2019;10;6;11;1;13;115.60;119.65;34.37;101701.25
2019;10;6;11;1;14;115.41;129.47;34.35;101702.25
2019;10;6;11;1;15;115.35;209.89;34.33;101703.27
2019;10;6;11;1;15;115.43;83.68;34.30;101703.88
2019;10;6;11;1;16;119.82;109.92;34.26;101706.20
2019;10;6;11;1;16;117.37;109.92;34.24;101707.22
2019;10;6;11;1;17;119.31;127.73;34.22;101707.88
2019;10;6;11;1;17;120.85;103.89;34.20;101708.55
2019;10;6;11;1;18;118.81;64.33;34.17;101710.56
2019;10;6;11;1;19;119.14;90.91;34.16;101711.30
2019;10;6;11;1;19;119.24;-634.18;34.14;101711.70
2019;10;6;11;1;20;121.23;143.19;34.12;101712.14
2019;10;6;11;1;20;123.22;91.79;34.10;101713.51
2019;10;6;11;1;21;125.68;-4928.13;34.09;101714.11
2019;10;6;11;1;21;121.60;304.44;34.08;101714.52
2019;10;6;11;1;22;122.16;-634.18;34.07;101715.38
2019;10;6;11;1;22;147.03;168.72;34.05;101716.91
2019;10;6;11;1;23;152.12;236.08;34.03;101717.91
2019;10;6;11;1;24;154.36;1862.60;34.00;101718.36
2019;10;6;11;1;24;156.30;154.91;33.98;101718.55
2019;10;6;11;1;25;156.89;-2413.78;33.92;101718.95
2019;10;6;11;1;25;154.28;-634.18;33.90;101719.14
2019;10;6;11;1;26;150.13;50.85;33.87;101719.20
2019;10;6;11;1;26;156.11;-634.18;33.86;101719.77
2019;10;6;11;1;27;150.74;-634.18;33.82;101719.67
2019;10;6;11;1;28;140.71;99.52;33.81;101720.51
2019;10;6;11;1;28;112.90;-1060.76;33.80;101720.86
2019;10;6;11;1;29;118.01;-953.83;33.79;101721.21
2019;10;6;11;1;29;111.81;81.51;33.76;101721.45
2019;10;6;11;1;30;110.11;136.97;33.75;101722.22
2019;10;6;11;1;30;111.96;181.68;33.74;101722.62
2019;10;6;11;1;31;117.10;99.52;33.74;101723.18
2019;10;6;11;1;32;114.63;121.18;33.73;101723.70
2019;10;6;11;1;32;109.77;80.13;33.74;101724.30
2019;10;6;11;1;33;110.45;121.18;33.74;101724.59
2019;10;6;11;1;33;113.19;-679.74;33.75;101724.63
2019;10;6;11;1;34;119.90;85.96;33.77;101725.09
2019;10;6;11;1;34;153.22;60.62;33.78;101725.42
2019;10;6;11;1;35;154.43;99.52;33.79;101725.75
2019;10;6;11;1;36;155.72;-634.18;33.80;101725.49
2019;10;6;11;1;36;157.40;1862.60;33.79;101725.41
2019;10;6;11;1;37;156.49;-679.74;33.79;101725.88
2019;10;6;11;1;37;154.87;-634.18;33.79;101725.97
2019;10;6;11;1;38;153.88;-4928.13;33.79;101726.27
2019;10;6;11;1;38;154.28;-866.48;33.81;101725.22
2019;10;6;11;1;39;154.19;-634.18;33.83;101724.69
2019;10;6;11;1;40;150.30;-634.18;33.85;101724.12
2019;10;6;11;1;40;146.20;-634.18;33.86;101723.50
2019;10;6;11;1;41;142.04;-634.18;33.89;101722.66
2019;10;6;11;1;41;141.19;-634.18;33.91;101722.17
2019;10;6;11;1;42;138.57;-634.18;33.93;101721.34
2019;10;6;11;1;42;133.06;-679.74;33.95;101720.68
2019;10;6;11;1;43;131.07;-634.18;33.99;101719.58
2019;10;6;11;1;43;127.62;-634.18;34.01;101719.59
